                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3184,                 26.275,                0.96245,                0.00548,                0.20792,                0.00235,                0.00062,                 3.2246,                  41069,                 0.8838,                0.00052,                0.00052,                0.00052
                      2,                 3.7882,                  4.515,                0.96607,                0.00548,                0.20792,                0.00235,                0.00062,                      0,             5.0682e+11,                      0,              0.0010495,              0.0010495,              0.0010495
                      3,                  3.507,                 3.4528,                0.98526,                0.00548,                0.20792,                0.00235,                0.00062,                      0,             2.0182e+11,                      0,              0.0015683,              0.0015683,              0.0015683
                      4,                 3.4825,                 3.3968,                0.94621,                0.00548,                0.20792,                0.00235,                0.00062,                      0,              3.412e+09,                      0,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.7365,                 2.8352,                 1.0297,                0.00548,                0.20792,                0.00235,                0.00062,                      0,             9.2019e+06,                      0,              0.0019208,              0.0019208,              0.0019208
                      6,                 3.5829,                 2.5612,                0.99259,                0.00548,                0.20792,                0.00235,                0.00062,                      0,             9.2396e+06,                      0,               0.001901,               0.001901,               0.001901
                      7,                 3.3503,                 2.3863,                0.93731,                0.00548,                0.20792,                0.00235,                0.00062,                      0,             4.8812e+05,                      0,              0.0018812,              0.0018812,              0.0018812
                      8,                 3.0024,                 2.3561,                0.90632,                0.00548,                0.20792,                0.00235,                0.00062,                      0,                  57806,                      0,              0.0018614,              0.0018614,              0.0018614
                      9,                 3.1505,                 2.2275,                0.90622,                0.00548,                0.20792,                0.00235,                0.00062,                 0.1356,                  12651,                0.03313,              0.0018416,              0.0018416,              0.0018416
                     10,                 3.0724,                  1.963,                0.91098,                0.00548,                0.20792,                0.00235,                0.00062,                0.74426,                 5404.9,                0.27903,              0.0018218,              0.0018218,              0.0018218
                     11,                 3.0451,                 1.9701,                0.88918,                0.43418,                0.28713,                 0.2003,                0.05158,                 2.8197,                   2.03,                0.84468,               0.001802,               0.001802,               0.001802
                     12,                 3.0775,                 2.0722,                0.90033,                0.01942,                0.09901,                0.01228,                0.00411,                 2.6123,                 3.0783,                0.69429,              0.0017822,              0.0017822,              0.0017822
                     13,                 3.1434,                 2.0171,                0.90303,                0.21277,                0.19802,                0.20442,                0.07164,                  2.509,                 2.4404,                0.72859,              0.0017624,              0.0017624,              0.0017624
                     14,                 3.1047,                 2.0086,                0.92476,                0.21277,                0.19802,                0.20442,                0.07164,                0.70676,                 1.3177,                0.23797,              0.0017426,              0.0017426,              0.0017426
                     15,                 3.1408,                 1.9124,                0.93385,                0.40756,                0.15842,                0.16216,                0.04858,                 3.1792,                 2.9596,                0.85856,              0.0017228,              0.0017228,              0.0017228
                     16,                 3.2093,                 1.9934,                0.89593,                0.55622,                0.26064,                 0.2706,                0.08185,                 2.6728,                 1.8247,                0.82872,               0.001703,               0.001703,               0.001703
                     17,                 3.0484,                 1.9272,                0.90511,                0.52282,                0.28713,                0.24881,                0.05855,                 3.0596,                 1.8326,                0.83574,              0.0016832,              0.0016832,              0.0016832
                     18,                 3.0527,                  1.887,                0.90281,                0.35288,                0.28713,                0.29959,                0.08775,                 2.7533,                 2.7556,                0.83027,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.8361,                 1.8891,                0.89506,                0.49326,                0.27723,                0.26006,                0.07349,                 2.7092,                 2.5814,                0.82616,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.9459,                 1.7514,                0.88816,                0.42298,                0.27723,                0.30533,                0.09323,                 2.7242,                 1.7477,                0.84048,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.8405,                 1.7324,                0.89187,                0.45619,                0.34653,                0.33284,                0.08409,                 2.7737,                 1.5159,                0.83586,               0.001604,               0.001604,               0.001604
                     22,                 2.8612,                 1.7073,                0.87629,                0.39298,                0.13861,                 0.1421,                0.03345,                 3.3289,                 2.4816,                0.83957,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.7768,                 1.9598,                0.87271,                0.28841,                0.07921,                0.05481,                0.01198,                 3.2687,                  2.112,                 0.8202,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.8304,                 1.7238,                0.89163,                0.61052,                0.24752,                0.28833,                0.09385,                 2.7685,                 2.1349,                0.83186,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.8715,                 1.9277,                0.88817,                0.00124,                 0.0396,                0.00021,                  7e-05,                 3.7382,                 337.09,                 0.8997,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.8187,                 1.7882,                0.88118,                0.49384,                0.27052,                0.25632,                0.06431,                 2.7425,                 1.8807,                0.81952,               0.001505,               0.001505,               0.001505
                     27,                  2.755,                 1.6509,                0.89739,                0.62187,                0.34653,                0.33229,                0.08713,                 2.9353,                 2.1122,                0.83198,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.7728,                 1.8073,                0.88849,                0.53898,                0.32414,                0.31142,                0.09507,                 2.6871,                 1.9193,                0.82616,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.6688,                 1.5577,                0.89034,                0.54378,                0.24752,                0.22892,                0.05842,                 2.9477,                 2.5392,                0.82362,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.6376,                 1.5589,                0.86604,                0.54378,                0.24752,                0.22892,                0.05842,                      0,                0.07796,                      0,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.8038,                 1.8117,                 0.8834,                0.01366,                 0.0297,                0.00483,                0.00128,                  2.947,                 27.954,                0.68609,               0.001406,               0.001406,               0.001406
                     32,                 2.6383,                 1.5792,                 0.8556,                0.77142,                0.33419,                0.42345,                0.12598,                 2.5211,                 1.7348,                0.79095,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.7259,                 1.5866,                0.87287,                0.67358,                0.21782,                0.24835,                0.05645,                 2.8308,                 1.7295,                0.82595,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.5893,                 1.4438,                0.88747,                0.59477,                0.32673,                0.33389,                0.11217,                 2.4803,                 1.7106,                0.81159,              0.0013466,              0.0013466,              0.0013466
